user_id,event_id,event_type,event_sub_event,event_average_rating,clicks
U4MVP4Y,E08M142,Poster Making,Competition,4.22,118.6
U4MVP4Y,E09C100,Concerts,Cultural,3.36,285.7
U4MVP4Y,E06C100,Concerts,Cultural,3.07,222.3
U4MVP4Y,E11T100,Speed,Technical,3.54,183.6
UU9UDHV,E01M100,Sketching,Competition,3.9,55.2
UU9UDHV,E04M142,Poster Making,Competition,4.2,55.2
UU9UDHV,E03M100,Sketching,Competition,3.97,26.8
UU9UDHV,E09R100,Webinar,Career,4.49,261.2
UNYGZGK,E04M100,Sketching,Competition,4.87,184.3
UNYGZGK,E02R100,Webinar,Career,4.23,215.3
UNYGZGK,E04T100,Nimbus,Technical,3.85,16.0
UNYGZGK,E05T100,Speed,Technical,3.39,291.3
UNYGZGK,E08R100,Webinar,Career,3.61,251.4
UHTGGVA,E01M100,Sketching,Competition,4.34,71.6
UHTGGVA,E03C100,Garba Night,Cultural,4.21,62.7
UHTGGVA,E12R100,Webinar,Career,4.98,63.2
UHTGGVA,E02M142,Poster Making,Competition,3.94,98.2
U6ENEC2,E09C121,Poetry,Cultural,3.78,162.2
UE0PA4T,E01C100,Garba Night,Cultural,5.0,135.3
UE0PA4T,E04M142,Poster Making,Competition,3.67,94.5
UE0PA4T,E02T100,Nimbus,Technical,4.51,187.4
UC8AWXY,E09C100,Concerts,Cultural,4.16,50.5
UC8AWXY,E05C100,Garba Night,Cultural,4.45,94.7
UVXUJ54,E11R100,Webinar,Career,3.05,116.2
UVXUJ54,E11T100,Nimbus,Technical,5.0,142.3
UVXUJ54,E03C121,Poetry,Cultural,4.4,237.7
UUWVSLH,E06R100,Webinar,Career,4.65,67.9
UUWVSLH,E10M142,Poster Making,Competition,3.8,159.1
UFTHJ4O,E11T100,Reload,Technical,4.77,181.8
UFTHJ4O,E06M100,Sketching,Competition,4.27,23.5
UFTHJ4O,E04T100,Reload,Technical,4.03,186.2
UFTHJ4O,E12T100,Reload,Technical,5.0,59.5
UJ4FCOJ,E12T100,Reload,Technical,3.28,28.9
